sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,leftCorrect,responseLeft,confidence
40,44,50,27,61,57,74,63,33,25,52,49,71,45,42,65,7,19,-2,-22,-10,12,32,-2,0,1,0,3
17,52,46,59,51,50,66,58,36,51,57,16,52,55,26,45,-19,1,-11,43,-1,-5,40,13,0,1,1,3
76,39,65,38,51,46,31,43,49,71,35,61,44,32,72,58,27,-32,30,-23,7,14,-41,-15,1,0,0,3
63,76,32,43,66,38,63,58,47,70,29,32,48,67,60,57,16,6,3,11,18,-29,3,1,0,1,1,4
45,37,31,53,44,50,80,42,53,46,37,54,61,73,26,65,-8,-9,-6,-1,-17,-23,54,-23,1,0,0,3
18,33,40,40,46,21,42,64,17,47,39,66,41,48,55,56,1,-14,1,-26,5,-27,-13,8,1,0,0,1
18,51,49,28,41,59,57,58,29,48,69,38,52,73,58,59,-11,3,-20,-10,-11,-14,-1,-1,1,0,0,2
48,65,67,57,37,23,53,51,55,31,81,59,48,40,64,55,-7,34,-14,-2,-11,-17,-11,-4,1,0,0,3
74,35,43,46,40,37,69,38,72,32,41,40,25,49,57,35,2,3,2,6,15,-12,12,3,0,1,1,2
65,39,21,50,58,47,63,41,37,62,48,63,54,27,49,75,28,-23,-27,-13,4,20,14,-34,1,0,0,2
42,43,24,65,52,60,56,27,71,40,41,45,28,62,49,65,-29,3,-17,20,24,-2,7,-38,1,0,0,2
74,49,21,55,48,47,53,43,35,78,60,51,66,32,50,49,39,-29,-39,4,-18,15,3,-6,1,0,1,2
71,62,32,40,35,58,34,41,46,45,62,83,69,51,46,39,25,17,-30,-43,-34,7,-12,2,1,0,0,3
19,42,55,45,32,54,43,70,68,62,45,60,23,36,47,53,-49,-20,10,-15,9,18,-4,17,1,0,1,1
45,81,72,41,55,59,36,54,55,56,25,39,33,60,42,67,-10,25,47,2,22,-1,-6,-13,0,1,1,2
35,28,42,53,70,60,52,28,73,45,32,71,54,59,36,64,-38,-17,10,-18,16,1,16,-36,1,0,0,2
57,60,72,62,32,73,36,46,76,68,44,43,53,54,38,32,-19,-8,28,19,-21,19,-2,14,0,1,1,2
66,32,52,62,60,28,59,40,52,58,79,62,45,63,33,40,14,-26,-27,0,15,-35,26,0,1,0,0,1
66,40,54,33,21,50,36,27,74,48,57,44,30,32,40,33,-8,-8,-3,-11,-9,18,-4,-6,1,0,0,2
71,29,57,43,70,60,52,39,36,19,53,64,63,45,44,38,35,10,4,-21,7,15,8,1,0,1,1,3
37,48,76,42,50,41,43,25,40,32,26,69,24,22,47,36,-3,16,50,-27,26,19,-4,-11,0,1,1,2
30,38,58,26,64,32,48,58,43,73,45,72,46,62,40,33,-13,-35,13,-46,18,-30,8,25,1,0,1,2
21,38,50,53,41,60,72,41,25,39,65,56,58,72,54,42,-4,-1,-15,-3,-17,-12,18,-1,1,0,0,1
35,55,51,18,54,37,26,23,44,77,54,37,43,43,27,32,-9,-22,-3,-19,11,-6,-1,-9,1,0,0,2
56,33,33,27,57,39,65,60,66,54,34,36,33,41,69,64,-10,-21,-1,-9,24,-2,-4,-4,1,0,0,2
62,60,24,42,45,51,73,64,79,37,49,40,48,61,43,35,-17,23,-25,2,-3,-10,30,29,0,1,1,2
67,39,25,34,59,42,25,42,28,71,46,43,65,59,33,53,39,-32,-21,-9,-6,-17,-8,-11,1,0,0,3
29,32,58,53,65,28,57,56,66,49,38,29,41,36,64,23,-37,-17,20,24,24,-8,-7,33,0,1,1,3
57,57,32,47,14,31,54,46,72,35,43,50,19,45,56,49,-15,22,-11,-3,-5,-14,-2,-3,1,0,0,1
55,15,29,35,46,61,42,38,74,50,53,38,52,25,55,39,-19,-35,-24,-3,-6,36,-13,-1,1,0,1,1
39,57,63,66,68,32,71,42,36,47,51,39,43,82,43,35,3,10,12,27,25,-50,28,7,0,1,0,1
48,23,65,38,30,39,44,65,54,61,70,44,61,54,52,20,-6,-38,-5,-6,-31,-15,-8,45,1,0,1,1
29,41,61,63,27,36,57,30,63,37,72,59,26,48,44,62,-34,4,-11,4,1,-12,13,-32,1,0,0,1
32,59,46,56,67,42,26,29,62,41,26,41,20,52,33,55,-30,18,20,15,47,-10,-7,-26,0,1,0,2
39,58,63,37,84,47,47,51,19,49,39,38,36,55,59,66,20,9,24,-1,48,-8,-12,-15,0,1,1,1
28,71,46,43,65,59,33,53,39,25,67,59,34,25,42,42,-11,46,-21,-16,31,34,-9,11,0,1,1,2
52,40,72,78,58,35,51,53,32,76,42,38,52,48,53,69,20,-36,30,40,6,-13,-2,-16,0,1,1,1
65,39,47,58,50,21,41,63,37,62,48,63,54,27,49,75,28,-23,-1,-5,-4,-6,-8,-12,1,0,0,1
49,86,48,58,48,39,40,45,58,30,49,29,37,43,35,71,-9,56,-1,29,11,-4,5,-26,0,1,1,1
46,61,63,56,46,49,17,33,65,28,77,61,47,63,45,45,-19,33,-14,-5,-1,-14,-28,-12,1,0,0,2
67,35,59,41,42,30,55,25,42,27,51,62,63,65,46,30,25,8,8,-21,-21,-35,9,-5,1,0,0,3
65,68,46,37,24,54,43,38,49,51,18,53,15,50,40,36,16,17,28,-16,9,4,3,2,0,1,1,1
62,66,33,49,34,42,45,20,40,80,60,63,37,45,49,43,22,-14,-27,-14,-3,-3,-4,-23,1,0,0,1
35,78,60,51,66,32,50,49,74,55,53,49,48,21,47,43,-39,23,7,2,18,11,3,6,0,1,1,2
74,50,53,38,52,25,55,39,55,15,29,46,61,38,35,42,19,35,24,-8,-9,-13,20,-3,0,1,0,1
45,44,46,37,56,36,62,80,51,45,41,58,26,66,29,30,-6,-1,5,-21,30,-30,33,50,0,1,1,2
51,20,54,27,20,34,39,56,66,33,56,54,46,46,51,16,-15,-13,-2,-27,-26,-12,-12,40,1,0,1,1
47,13,42,58,35,55,33,55,39,62,35,41,72,61,32,60,8,-49,7,17,-37,-6,1,-5,1,0,0,1
30,67,73,49,66,39,52,47,70,51,25,56,31,40,34,51,-40,16,48,-7,35,-1,18,-4,0,1,0,1
52,70,52,68,71,59,28,39,31,37,50,57,62,58,73,37,21,33,2,11,9,1,-45,2,0,1,1,1
40,26,51,61,55,50,77,41,46,76,54,46,31,28,43,43,-6,-50,-3,15,24,22,34,-2,0,1,1,1
31,37,50,37,73,62,57,58,52,70,52,68,71,59,28,39,-21,-33,-2,-31,2,3,29,19,1,0,0,1
53,44,63,69,47,78,30,59,43,55,25,70,69,44,61,43,10,-11,38,-1,-22,34,-31,16,0,1,1,2
35,74,47,36,30,49,63,49,72,51,67,29,43,38,52,65,-37,23,-20,7,-13,11,11,-16,1,0,0,1
72,35,43,50,19,45,56,49,47,57,57,46,32,14,31,54,25,-22,-14,4,-13,31,25,-5,0,1,1,2
68,54,42,57,60,35,38,76,42,42,33,45,48,34,82,43,26,12,9,12,12,1,-44,33,0,1,1,1
39,57,66,37,64,49,40,80,20,37,63,31,62,46,55,53,19,20,3,6,2,3,-15,27,0,1,0,1
53,50,51,61,39,77,30,70,43,68,47,64,41,34,67,33,10,-18,4,-3,-2,43,-37,37,0,1,1,1
63,42,34,39,42,65,64,26,51,29,43,59,54,15,32,31,12,13,-9,-20,-12,50,32,-5,0,1,1,3
63,42,34,39,42,65,64,26,51,29,15,32,31,43,59,54,12,13,19,7,11,22,5,-28,0,1,0,2
44,58,50,16,55,46,48,65,57,39,58,70,54,55,22,64,-13,19,-8,-54,1,-9,26,1,1,0,1,2
41,74,47,47,52,63,25,56,45,32,64,26,36,60,49,62,-4,42,-17,21,16,3,-24,-6,0,1,0,1
62,39,32,24,63,56,54,57,42,56,33,31,74,41,47,30,20,-17,-1,-7,-11,15,7,27,0,1,1,3
33,64,11,44,30,46,34,39,62,29,23,45,51,66,40,49,-29,35,-12,-1,-21,-20,-6,-10,1,0,0,4
30,31,40,48,68,19,48,44,60,20,60,60,44,43,36,35,-30,11,-20,-12,24,-24,12,9,1,0,0,1
50,71,42,58,31,31,53,32,60,51,46,54,23,71,34,58,-10,20,-4,4,8,-40,19,-26,1,0,0,4
51,29,45,65,47,29,69,54,33,53,44,40,36,12,60,51,18,-24,1,25,11,17,9,3,0,1,1,4
43,73,45,72,46,62,40,33,30,58,38,64,26,48,58,32,13,15,7,8,20,14,-18,1,0,1,1,4
70,37,48,30,68,53,32,47,66,30,38,28,51,50,31,61,4,7,10,2,17,3,1,-14,0,1,1,1
39,63,69,32,57,43,61,29,44,34,22,68,37,44,54,59,-5,29,47,-36,20,-1,7,-30,0,1,0,2
62,57,36,34,51,82,47,53,78,37,30,37,53,34,48,43,-16,20,6,-3,-2,48,-1,10,0,1,1,2
57,44,19,52,40,60,56,25,52,73,67,53,32,43,35,63,5,-29,-48,-1,8,17,21,-38,1,0,0,3
54,43,34,47,54,63,13,50,26,55,36,42,72,61,59,44,28,-12,-2,5,-18,2,-46,6,1,0,0,4
52,73,67,53,32,43,35,63,57,44,60,52,19,40,25,56,-5,29,7,1,13,3,10,7,0,1,1,4
35,39,52,67,24,63,37,35,39,45,52,67,26,65,66,57,-4,-6,0,0,-2,-2,-29,-22,1,0,0,4
36,60,19,42,53,55,62,59,27,30,65,34,46,39,55,21,9,30,-46,8,7,16,7,38,0,1,1,2
55,48,40,19,34,44,41,71,38,51,43,31,68,54,54,76,17,-3,-3,-12,-34,-10,-13,-5,1,0,0,3
72,42,72,44,46,29,62,47,40,33,47,76,41,23,50,45,32,9,25,-32,5,6,12,2,0,1,1,2
46,43,34,41,69,60,64,25,38,37,72,28,52,52,48,24,8,6,-38,13,17,8,16,1,0,1,1,4
45,69,62,37,75,64,43,36,60,56,68,62,36,55,24,41,-15,13,-6,-25,39,9,19,-5,0,1,1,2
69,44,37,39,47,75,66,66,41,52,35,36,29,71,63,47,28,-8,2,3,18,4,3,19,0,1,1,4
49,33,58,12,57,29,39,45,68,35,68,45,28,36,42,59,-19,-2,-10,-33,29,-7,-3,-14,1,0,0,3
37,49,79,40,43,48,61,35,62,60,24,42,45,51,73,64,-25,-11,55,-2,-2,-3,-12,-29,1,0,0,3
66,29,49,38,64,23,41,36,29,32,58,53,65,28,57,56,37,-3,-9,-15,-1,-5,-16,-20,1,0,0,3
47,62,55,18,49,39,63,57,52,81,56,30,56,41,45,61,-5,-19,-1,-12,-7,-2,18,-4,1,0,0,2
45,74,54,54,60,68,56,24,66,44,45,32,45,60,53,20,-21,30,9,22,15,8,3,4,0,1,1,4
69,29,51,46,54,44,75,46,47,43,24,59,64,54,28,34,22,-14,27,-13,-10,-10,47,12,0,1,1,4
65,23,38,48,65,30,39,44,54,61,70,44,61,54,52,20,11,-38,-32,4,4,-24,-13,24,1,0,0,3
51,19,24,38,37,62,27,54,49,24,55,30,64,47,67,43,2,-5,-31,8,-27,15,-40,11,1,0,1,1
50,59,43,39,38,79,43,68,41,49,41,71,37,67,29,51,9,10,2,-32,1,12,14,17,0,1,1,5
29,62,15,51,52,34,28,40,37,53,37,79,54,38,36,41,-8,9,-22,-28,-2,-4,-8,-1,1,0,0,2
32,32,61,35,26,57,50,19,61,62,46,28,47,50,23,58,-29,-30,15,7,-21,7,27,-39,1,0,0,5
51,28,38,41,45,54,76,30,36,28,59,41,28,65,26,46,15,0,-21,0,17,-11,50,-16,0,1,1,2
40,80,60,63,37,45,49,43,62,33,42,34,49,66,20,45,-22,47,18,29,-12,-21,29,-2,0,1,1,3
59,47,42,29,52,14,31,51,75,36,60,46,51,53,27,43,-16,11,-18,-17,1,-39,4,8,1,0,0,4
38,24,32,64,58,65,55,47,28,17,60,44,33,58,31,46,10,7,-28,20,25,7,24,1,0,1,1,2
48,37,53,24,28,71,41,45,50,50,65,37,35,22,61,59,-2,-13,-12,-13,-7,49,-20,-14,1,0,1,1
56,36,80,51,59,46,34,45,36,30,66,63,56,59,77,53,20,6,14,-12,3,-13,-43,-8,1,0,1,2
18,49,51,40,53,15,50,36,65,68,46,37,24,54,43,38,-47,-19,5,3,29,-39,7,-2,1,0,0,2
60,60,18,45,45,36,31,57,67,54,24,33,40,52,68,47,-7,6,-6,12,5,-16,-37,10,1,0,0,3
60,58,68,41,55,51,54,18,47,82,57,56,67,47,52,31,13,-24,11,-15,-12,4,2,-13,1,0,0,3
33,53,44,40,51,36,12,60,51,29,45,65,47,29,69,54,-18,24,-1,-25,4,7,-57,6,1,0,0,4
51,58,64,42,34,28,37,70,18,32,52,38,29,58,35,58,33,26,12,4,5,-30,2,12,0,1,1,4
59,28,48,33,49,77,41,47,32,62,19,48,40,36,53,63,27,-34,29,-15,9,41,-12,-16,0,1,0,2
27,71,47,51,50,54,26,43,63,42,56,69,53,52,22,40,-36,29,-9,-18,-3,2,4,3,1,0,1,1
27,33,50,42,39,72,30,56,36,50,56,62,59,22,39,63,-9,-17,-6,-20,-20,50,-9,-7,1,0,1,1
34,43,40,52,65,61,53,21,67,63,42,47,57,59,25,70,-33,-20,-2,5,8,2,28,-49,1,0,1,1
38,24,32,64,58,65,55,47,28,44,33,17,60,31,58,46,10,-20,-1,47,-2,34,-3,1,0,1,0,2
36,33,31,40,67,48,21,20,42,80,28,38,49,39,39,42,-6,-47,3,2,18,9,-18,-22,1,0,0,1
52,58,79,62,45,63,33,40,66,52,62,60,40,59,32,28,-14,6,17,2,5,4,1,12,0,1,1,4
33,49,12,58,39,57,29,45,68,35,68,45,28,36,42,59,-35,14,-56,13,11,21,-13,-14,1,0,0,2
38,48,56,59,70,22,51,35,51,57,30,55,61,83,42,60,-13,-9,26,4,9,-61,9,-25,1,0,0,4
50,58,51,17,61,33,54,43,53,26,60,30,68,47,60,58,-3,32,-9,-13,-7,-14,-6,-15,1,0,0,4
40,57,59,65,27,62,35,63,38,50,57,62,18,40,66,48,2,7,2,3,9,22,-31,15,0,1,1,3
59,28,48,33,49,77,41,47,53,62,32,19,48,63,40,36,6,-34,16,14,1,14,1,11,0,1,1,4
43,48,37,71,61,60,28,37,61,18,32,50,57,39,26,36,-18,30,5,21,4,21,2,1,0,1,1,2
46,34,50,17,35,31,65,24,56,49,52,32,58,49,15,60,-10,-15,-2,-15,-23,-18,50,-36,1,0,0,3
39,66,39,71,36,36,41,65,44,36,47,40,54,62,28,15,-5,30,-8,31,-18,-26,13,50,0,1,0,2
40,55,62,70,38,35,55,28,61,46,41,79,48,32,48,62,-21,9,21,-9,-10,3,7,-34,1,0,1,2
18,32,52,58,35,29,38,58,51,58,64,42,34,28,37,70,-33,-26,-12,16,1,1,1,-12,1,0,0,4
20,63,37,62,31,55,46,53,39,57,66,37,64,49,40,80,-19,6,-29,25,-33,6,6,-27,1,0,0,2
56,33,33,39,57,60,27,65,66,54,34,36,33,41,69,64,-10,-21,-1,3,24,19,-42,1,1,0,0,1
60,68,55,54,58,41,51,18,47,82,57,56,67,47,52,31,13,-14,-2,-2,-9,-6,-1,-13,1,0,0,3
36,50,56,62,59,22,39,63,50,27,33,42,39,30,56,72,-14,23,23,20,20,-8,-17,-9,0,1,0,3
67,38,22,35,40,59,52,60,37,34,67,22,23,48,47,31,30,4,-45,13,17,11,5,29,0,1,1,4
25,47,56,64,36,29,23,32,52,63,70,22,46,46,32,47,-27,-16,-14,42,-10,-17,-9,-15,1,0,0,2
54,31,38,59,36,71,50,27,40,25,31,53,63,40,32,18,14,6,7,6,-27,31,18,9,0,1,1,2
34,48,41,18,65,45,40,22,38,52,28,54,52,43,31,76,-4,-4,13,-36,13,2,9,-54,1,0,0,2
74,35,43,46,40,37,69,38,32,72,41,25,49,40,35,57,42,-37,2,21,-9,-3,34,-19,0,1,1,2
36,50,34,19,40,63,44,64,56,45,77,50,46,27,34,51,-20,5,-43,-31,-6,36,10,13,1,0,1,3
74,48,57,44,30,32,40,33,66,21,40,54,33,36,50,27,8,27,17,-10,-3,-4,-10,6,0,1,0,1
68,44,35,46,69,64,43,32,32,46,38,62,73,71,59,50,36,-2,-3,-16,-4,-7,-16,-18,1,0,0,3
53,20,66,44,45,32,60,45,45,74,54,54,60,68,56,24,8,-54,12,-10,-15,-36,4,21,1,0,0,2
50,45,64,46,72,41,25,65,31,41,33,62,29,48,33,69,19,4,31,-16,43,-7,-8,-4,0,1,1,1
52,35,42,31,80,55,39,44,66,55,52,42,19,64,53,56,-14,-20,-10,-11,61,-9,-14,-12,1,0,0,2
36,52,17,49,58,45,55,65,53,65,24,33,42,56,25,44,-17,-13,-7,16,16,-11,30,21,0,1,1,2
54,31,38,59,36,71,50,27,40,25,31,63,40,18,53,32,14,6,7,-4,-4,53,-3,-5,0,1,1,1
75,41,37,53,35,34,41,66,42,24,21,42,32,55,39,65,33,17,16,11,3,-21,2,1,0,1,1,2
34,28,34,49,58,63,33,64,45,31,52,57,61,72,41,30,-11,-3,-18,-8,-3,-9,-8,34,1,0,0,1
51,17,59,47,32,43,65,52,63,26,54,30,60,68,52,49,-12,-9,5,17,-28,-25,13,3,1,0,1,1
46,34,17,35,31,50,24,65,56,49,52,32,58,49,15,60,-10,-15,-35,3,-27,1,9,5,1,0,0,1
34,80,56,59,36,51,46,45,36,30,66,63,56,59,77,53,-2,50,-10,-4,-20,-8,-31,-8,1,0,0,1
50,59,43,39,38,79,43,68,41,41,71,67,49,37,51,29,9,18,-28,-28,-11,42,-8,39,0,1,1,3
50,64,36,47,34,47,30,73,63,65,69,53,42,56,46,22,-13,-1,-33,-6,-8,-9,-16,51,1,0,0,2
48,53,24,71,37,41,45,28,50,50,65,37,35,22,61,59,-2,3,-41,34,2,19,-16,-31,1,0,0,1
26,71,49,52,39,43,31,27,39,38,69,65,62,53,48,28,-13,33,-20,-13,-23,-10,-17,-1,1,0,0,3
17,47,39,66,41,48,55,56,18,33,21,64,40,40,46,42,-1,14,18,2,1,8,9,14,0,1,1,2
32,56,45,61,52,15,56,48,52,57,46,34,18,41,14,45,-20,-1,-1,27,34,-26,42,3,0,1,1,2
38,76,55,34,28,37,49,45,36,59,51,23,48,12,37,33,2,17,4,11,-20,25,12,12,0,1,1,4
52,52,40,47,49,15,40,67,32,50,34,25,47,66,25,52,20,2,6,22,2,-51,15,15,0,1,1,2
79,56,46,54,44,44,76,41,67,46,39,48,36,69,46,26,12,10,7,6,8,-25,30,15,0,1,1,3
36,26,33,59,24,66,45,40,39,35,62,70,27,31,47,52,-3,-9,-29,-11,-3,35,-2,-12,1,0,0,2
47,36,51,82,39,43,35,43,39,57,63,66,68,32,71,42,8,-21,-12,16,-29,11,-36,1,1,0,0,1
26,55,36,42,72,61,59,44,54,47,34,13,63,54,50,43,-28,8,2,29,9,7,9,1,0,1,1,3
25,31,40,63,27,47,61,33,38,38,71,31,29,53,62,38,-13,-7,-31,32,-2,-6,-1,-5,1,0,0,1
44,68,69,46,43,35,32,64,32,46,38,62,73,71,59,50,12,22,31,-16,-30,-36,-27,14,1,0,0,2
68,54,42,57,60,35,38,76,42,33,45,34,42,48,43,82,26,21,-3,23,18,-13,-5,-6,0,1,1,2
78,37,34,30,48,53,37,43,62,57,36,34,51,82,47,53,16,-20,-2,-4,-3,-29,-10,-10,1,0,0,3
17,51,28,37,62,26,53,37,49,70,39,49,18,45,62,45,-32,-19,-11,-12,44,-19,-9,-8,1,0,1,2
56,15,42,63,33,28,47,41,45,19,43,65,40,34,59,57,11,-4,-1,-2,-7,-6,-12,-16,1,0,0,3
43,48,37,71,61,60,28,37,61,50,57,18,39,32,36,26,-18,-2,-20,53,22,28,-8,11,0,1,1,4
29,48,69,38,52,73,58,59,18,51,28,49,57,41,58,59,11,-3,41,-11,-5,32,0,0,0,1,1,2
36,59,28,28,41,46,65,26,51,28,38,41,45,54,76,30,-15,31,-10,-13,-4,-8,-11,-4,1,0,0,3
58,63,33,41,26,64,46,63,38,62,47,29,37,26,53,68,20,1,-14,12,-11,38,-7,-5,0,1,1,1
38,52,37,52,72,48,28,24,46,43,34,41,69,60,64,25,-8,9,3,11,3,-12,-36,-1,1,0,0,2
42,42,21,45,17,50,61,43,31,64,38,27,63,45,54,63,11,-22,-17,18,-46,5,7,-20,1,0,0,2
47,49,74,54,40,70,47,26,38,64,50,46,45,25,70,37,9,-15,24,8,-5,45,-23,-11,0,1,0,3
26,49,71,39,27,43,52,31,39,38,69,65,62,53,48,28,-13,11,2,-26,-35,-10,4,3,1,0,0,2
44,58,50,65,46,48,16,55,57,39,58,70,54,55,22,64,-13,19,-8,-5,-8,-7,-6,-9,1,0,0,2
45,69,62,37,75,64,43,36,60,56,55,36,68,62,41,24,-15,13,7,1,7,2,2,12,0,1,1,2
52,69,32,31,59,28,52,45,34,52,70,25,40,26,49,41,18,17,-38,6,19,2,3,4,0,1,1,3
42,80,28,38,49,39,39,42,40,36,67,33,48,31,21,20,2,44,-39,5,1,8,18,22,0,1,1,5
49,24,55,30,64,47,67,43,51,19,24,27,62,38,54,37,-2,5,31,3,2,9,13,6,0,1,1,4
35,28,42,70,53,52,28,60,73,45,32,71,54,59,36,64,-38,-17,10,-1,-1,-7,-8,-4,1,0,0,4
42,77,30,46,41,37,62,54,58,58,41,30,38,48,64,21,-16,19,-11,16,3,-11,-2,33,0,1,1,2
29,27,41,57,63,36,30,61,63,37,72,59,26,48,44,62,-34,-10,-31,-2,37,-12,-14,-1,1,0,0,3
48,68,48,44,30,40,31,19,60,20,60,60,44,43,36,35,-12,48,-12,-16,-14,-3,-5,-16,1,0,0,3
56,72,34,45,24,48,46,60,59,81,36,54,34,50,47,56,-3,-9,-2,-9,-10,-2,-1,4,1,0,0,4
36,26,33,24,45,40,59,66,39,35,62,70,27,31,47,52,-3,-9,-29,-46,18,9,12,14,1,0,1,1
41,63,16,29,49,54,40,54,46,33,27,36,56,69,43,65,-5,30,-11,-7,-7,-15,-3,-11,1,0,0,2
55,47,62,18,39,63,57,49,52,81,56,30,56,41,45,61,3,-34,6,-12,-17,22,12,-12,1,0,0,1
54,31,27,58,34,72,41,41,42,28,65,57,19,43,39,34,12,3,-38,1,15,29,2,7,0,1,1,2
52,69,32,31,59,28,52,45,70,25,34,52,40,41,49,26,-18,44,-2,-21,19,-13,3,19,0,1,1,4
32,56,45,61,52,15,56,48,52,34,18,57,46,14,41,45,-20,22,27,4,6,1,15,3,0,1,1,2
39,22,47,63,55,31,52,22,48,41,58,61,37,28,23,64,-9,-19,-11,2,18,3,29,-42,1,0,0,1
50,58,51,33,43,54,61,17,53,26,60,30,68,47,60,58,-3,32,-9,3,-25,7,1,-41,1,0,0,4
56,63,33,47,42,41,28,15,45,19,43,65,40,34,59,57,11,44,-10,-18,2,7,-31,-42,1,0,0,1
44,21,43,27,16,50,61,35,24,57,36,63,50,38,31,63,20,-36,7,-36,-34,12,30,-28,1,0,0,3
52,63,70,22,46,46,32,47,25,47,29,23,56,64,36,32,27,16,41,-1,-10,-18,-4,15,0,1,1,1
34,44,68,22,44,37,54,59,39,63,69,32,57,43,61,29,-5,-19,-1,-10,-13,-6,-7,30,1,0,0,3
55,31,81,59,48,40,64,55,57,37,65,23,67,48,53,51,-2,-6,16,36,-19,-8,11,4,0,1,1,2
58,64,21,41,38,30,58,48,42,77,30,46,41,37,62,54,16,-13,-9,-5,-3,-7,-4,-6,1,0,0,4
31,46,46,54,43,43,76,28,40,26,51,61,55,50,77,41,-9,20,-5,-7,-12,-7,-1,-13,1,0,0,4
35,67,41,59,42,55,30,25,42,27,51,62,63,65,46,30,-7,40,-10,-3,-21,-10,-16,-5,1,0,0,2
69,44,37,39,47,75,66,66,41,52,71,47,63,35,36,29,28,-8,-34,-8,-16,40,30,37,0,1,1,3
49,70,39,49,18,45,62,45,17,28,37,51,26,62,37,53,32,42,2,-2,-8,-17,25,-8,0,1,1,2
24,57,36,63,50,38,31,63,44,21,27,50,43,35,16,61,-20,36,9,13,7,3,15,2,0,1,1,2
35,52,63,39,37,35,24,67,39,45,52,67,26,65,66,57,-4,7,11,-28,11,-30,-42,10,1,0,0,3
58,42,43,58,25,17,35,48,37,47,59,45,80,44,30,47,21,-5,-16,13,-55,-27,5,1,1,0,0,5
49,47,20,36,11,50,35,51,76,53,41,33,54,38,27,41,-27,-6,-21,3,-43,12,8,10,1,0,0,2
35,49,24,59,56,47,72,48,27,22,30,57,52,42,63,37,8,27,-6,2,4,5,9,11,0,1,1,3
69,29,51,46,54,44,75,46,59,24,47,43,64,28,54,34,10,5,4,3,-10,16,21,12,0,1,1,5
30,66,38,28,31,61,51,50,70,37,48,30,68,53,32,47,-40,29,-10,-2,-37,8,19,3,1,0,1,1
52,58,57,33,63,34,22,44,37,30,29,43,15,51,29,62,15,28,28,-10,48,-17,-7,-18,0,1,0,1
69,62,52,54,54,67,24,40,22,33,39,59,67,52,35,50,47,29,13,-5,-13,15,-11,-10,0,1,1,1
65,44,49,58,15,54,49,49,40,16,45,53,59,52,24,31,25,28,4,5,-44,2,25,18,0,1,1,2
27,22,30,42,63,52,37,57,35,49,24,59,56,47,72,48,-8,-27,6,-17,7,5,-35,9,1,0,0,1
45,42,29,52,74,34,42,61,44,33,56,46,63,19,27,53,1,9,-27,6,11,15,15,8,0,1,1,3
62,29,23,45,51,66,40,49,64,33,44,30,34,39,46,11,-2,-4,-21,15,17,27,-6,38,0,1,1,3
42,67,56,21,42,41,63,38,35,50,33,73,24,36,47,37,7,17,23,-52,18,5,16,1,0,1,1,3
46,33,56,53,19,27,63,44,45,42,29,52,74,34,42,61,1,-9,27,1,-55,-7,21,-17,1,0,0,2
30,67,73,49,66,39,52,47,70,51,25,31,56,34,51,40,-40,16,48,18,10,5,1,7,0,1,1,1
43,21,66,61,36,56,38,52,35,24,29,71,47,36,56,48,8,-3,37,-10,-11,20,-18,4,0,1,1,2
67,54,24,33,40,52,68,47,60,60,18,31,36,45,57,45,7,-6,6,2,4,7,11,2,0,1,1,4
38,51,43,31,68,54,54,76,55,71,48,40,19,34,44,41,-17,-20,-5,-9,49,20,10,35,0,1,1,4
22,33,39,52,50,59,67,35,69,62,52,54,54,67,24,40,-47,-29,-13,-2,-4,-8,43,-5,1,0,0,4
61,62,46,28,47,50,23,58,32,61,32,26,35,57,19,50,29,1,14,2,12,-7,4,8,0,1,0,1
58,51,54,32,52,33,37,77,54,69,45,45,27,71,65,50,4,-18,9,-13,25,-38,-28,27,1,0,1,2
52,40,72,78,58,35,51,53,32,38,42,76,53,69,48,52,20,2,30,2,5,-34,3,1,0,1,0,1
71,29,57,43,70,60,52,39,36,19,64,63,45,38,53,44,35,10,-7,-20,25,22,-1,-5,0,1,1,2
32,64,45,26,36,60,62,49,41,74,47,47,52,63,25,56,-9,-10,-2,-21,-16,-3,37,-7,1,0,1,1
57,60,72,62,32,73,36,46,44,43,68,53,76,54,32,38,13,17,4,9,-44,19,4,8,0,1,1,1
63,42,56,69,53,52,22,40,47,27,51,54,50,43,71,26,16,15,5,15,3,9,-49,14,0,1,1,2
66,33,56,54,46,46,51,16,51,34,20,27,20,56,54,39,15,-1,36,27,26,-10,-3,-23,0,1,0,1
72,51,67,29,43,38,52,65,35,47,63,74,36,30,49,49,37,4,4,-45,7,8,3,16,0,1,0,1
50,73,64,36,47,34,47,30,63,65,69,53,42,56,46,22,-13,8,-5,-17,5,-22,1,8,1,0,1,2
52,58,57,33,63,34,22,44,37,30,43,29,51,62,15,29,15,28,14,4,12,-28,7,15,0,1,0,1
69,50,41,21,57,35,56,56,59,23,39,64,56,30,35,46,10,27,2,-43,1,5,21,10,0,1,1,2
58,42,58,43,48,35,25,17,37,47,59,45,80,44,30,47,21,-5,-1,-2,-32,-9,-5,-30,1,0,0,3
