subject,sequenceA1,sequenceA2,sequenceA3,sequenceA4,sequenceA5,sequenceA6,sequenceA7,sequenceA8,sequenceB1,sequenceB2,sequenceB3,sequenceB4,sequenceB5,sequenceB6,sequenceB7,sequenceB8,isDifferentMeanSameVariance,sequenceChoiceLeft,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy,economic_loss
1,16,72,58,36,28,56,71,45,41,57,39,48,33,49,60,56,0,1,47.75,47.875,-0.125,0,0,-0.125,15.254370958296947,15.129370958296947,14.451967859084105,19.0,-25.0,0,2.0794415416798357,0.125
1,74,47,78,58,39,53,61,36,47,26,39,54,31,74,44,52,1,0,55.75,45.875,9.875,1,0,-9.875,15.423872189996043,5.548872189996043,19.290136728390497,39.0,-21.0,4,2.0794415416798357,9.875
1,40,42,21,58,30,42,36,69,46,48,80,35,35,56,64,51,1,1,42.25,51.875,-9.625,0,0,-9.625,15.394668990703677,5.769668990703677,24.16059550176692,23.0,-59.0,-4,1.9061547465398496,9.625
1,48,64,45,41,69,36,60,78,46,32,31,63,66,53,25,47,1,1,55.125,45.375,9.75,1,1,-9.75,15.30795000427338,5.55795000427338,20.710806358034446,35.0,-22.0,4,2.0794415416798357,0.0
1,59,38,25,29,59,28,27,55,35,63,56,61,61,24,58,39,1,0,40.0,49.625,-9.625,0,1,-9.625,15.30236909762668,5.677369097626681,21.45307378908673,24.0,-32.0,-2,1.9061547465398496,0.0
1,52,18,47,54,39,60,28,27,54,48,75,64,50,42,23,51,1,1,40.625,50.875,-10.25,0,0,-10.25,15.56277610196844,5.31277610196844,15.785673884886892,18.0,-30.0,-4,2.0794415416798357,10.25
1,66,42,39,63,43,74,76,46,31,34,45,63,26,66,59,46,1,1,56.125,46.25,9.875,1,1,-9.875,15.587254408650677,5.7122544086506775,12.180286326683786,35.0,-6.0,4,1.559581156259877,0.0
1,67,45,49,33,53,44,50,51,76,49,35,38,15,47,61,73,0,0,49.0,49.25,-0.25,0,1,-0.25,15.422386326376342,15.172386326376342,17.231874535290697,38.0,-22.0,-4,2.0794415416798357,0.0
1,59,43,80,70,73,46,67,43,61,47,72,51,49,43,58,22,1,1,60.125,50.375,9.75,1,1,-9.75,15.022205785658333,5.272205785658333,9.946733132038881,24.0,-4.0,4,2.0794415416798357,0.0
1,49,65,27,53,72,12,50,40,30,60,44,43,42,40,57,50,0,0,46.0,45.75,0.25,1,0,-0.25,14.872233636321523,14.622233636321523,18.05373922488081,30.0,-28.0,0,2.0794415416798357,0.25
1,64,51,43,70,44,59,62,90,66,56,45,70,25,57,43,41,1,1,60.375,50.375,10.0,1,1,-10.0,15.418062999828049,5.418062999828049,17.175564037317667,49.0,-5.0,1,1.7328679513998633,0.0
1,48,38,48,18,44,59,25,62,35,40,62,67,58,67,65,33,1,1,42.75,53.375,-10.625,0,0,-10.625,15.54978563625021,4.92478563625021,23.895279345510904,29.0,-49.0,-4,1.9061547465398496,10.625
1,56,56,61,27,69,76,52,44,70,40,51,18,41,54,43,40,1,1,55.125,44.625,10.5,1,1,-10.5,15.426708441314801,4.926708441314801,11.811011811017716,28.0,-14.0,6,1.9061547465398496,0.0
1,31,28,53,65,70,57,62,89,60,51,40,65,56,63,71,48,0,1,56.875,56.75,0.125,1,1,-0.125,15.332835136834065,15.207835136834065,21.014503919912077,41.0,-29.0,-1,2.0794415416798357,0.0
1,57,42,61,51,42,69,41,53,39,56,53,35,30,79,43,82,0,0,52.0,52.125,-0.125,0,1,-0.125,15.026504361738073,14.901504361738073,15.52769702821381,18.0,-29.0,0,2.0794415416798357,0.0
