sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,responseLeft,confidence,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
50,40,69,58,28,66,55,33,32,39,66,57,59,58,29,29,18,1,3,1,-31,8,26,4,0,0,5,49.875,46.125,3.75,1,0,-3.75,14.814407401805402,11.064407401805402,15.570404619020021,26.0,-31.0,6,1.9061547465398496
48,25,71,43,51,56,31,37,36,58,52,37,50,53,21,18,12,-33,19,6,1,3,10,19,0,1,5,45.25,40.625,4.625,1,1,-4.625,14.594376770980436,9.969376770980436,15.531721572317732,19.0,-33.0,6,1.9061547465398496
45,43,62,69,54,28,32,35,22,40,48,64,36,17,31,43,23,3,14,5,18,11,1,-8,0,0,2,46.0,37.625,8.375,1,0,-8.375,14.909588637294233,6.534588637294233,9.406613365074595,23.0,-8.0,6,2.0794415416798357
55,45,43,69,64,29,39,29,55,45,37,67,77,57,35,65,0,0,6,2,-13,-28,4,-36,1,0,6,46.625,54.75,-8.125,0,1,-8.125,15.027613472094187,6.9026134720941865,14.903334358458176,6.0,-36.0,0,1.9061547465398496
45,52,56,44,13,38,23,28,49,39,64,55,22,56,25,51,-4,13,-8,-11,-9,-18,-2,-23,1,0,3,37.375,45.125,-7.75,0,1,-7.75,15.03551351523009,7.28551351523009,10.170422803403996,13.0,-23.0,-6,2.0794415416798357
21,50,38,43,48,36,62,67,39,56,18,59,43,43,24,22,-18,-6,20,-16,5,-7,38,45,0,1,6,45.625,38.0,7.625,1,1,-7.625,15.087384354707302,7.462384354707302,22.621546697783508,45.0,-18.0,0,2.0794415416798357
51,57,32,59,77,46,35,38,37,63,50,15,40,45,51,59,14,-6,-18,44,37,1,-16,-21,0,0,4,49.375,45.0,4.375,1,0,-4.375,14.634291920007609,10.259291920007609,23.467730503821624,44.0,-21.0,0,2.0794415416798357
30,42,70,62,31,51,58,64,69,39,52,28,44,59,59,26,-39,3,18,34,-13,-8,-1,38,0,1,5,51.0,47.0,4.0,1,1,-4.0,14.96217453001624,10.96217453001624,23.874672772626646,38.0,-39.0,0,2.0794415416798357
72,46,57,27,34,28,39,42,65,57,50,56,41,17,53,35,7,-11,7,-29,-7,11,-14,7,1,0,3,43.125,46.75,-3.625,0,1,-3.625,14.847979660546414,11.222979660546414,13.085655314121643,11.0,-29.0,0,1.6674619334292948
65,68,55,49,24,71,44,56,63,33,37,44,73,50,32,34,2,35,18,5,-49,21,12,22,0,0,4,54.0,45.75,8.25,1,0,-8.25,15.353067011729827,7.103067011729827,23.726303968380748,35.0,-49.0,6,2.0794415416798357
