sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,responseLeft,confidence,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
42,53,86,58,37,53,53,42,40,63,64,56,36,34,47,20,2,-10,22,2,1,19,6,22,0,1,6,53.0,45.0,8.0,1,1,-8.0,15.340577998671801,7.340577998671801,10.965856099730654,22.0,-10.0,6,1.7328679513998633
61,25,35,59,48,45,42,70,64,52,38,78,58,51,51,27,-3,-27,-3,-19,-10,-6,-9,43,1,0,1,48.125,52.375,-4.25,0,1,-4.25,14.758048651498612,10.508048651498612,19.45989465541887,43.0,-27.0,-6,1.9061547465398496
55,46,49,58,33,59,14,48,66,34,40,25,63,48,64,49,-11,12,9,33,-30,11,-50,-1,1,0,1,45.25,48.625,-3.375,0,1,-3.375,14.680911642901018,11.305911642901018,24.662408134648977,33.0,-50.0,0,2.0794415416798357
62,42,57,64,22,63,61,43,46,21,47,56,74,54,50,38,16,21,10,8,-52,9,11,5,0,1,1,51.75,48.25,3.5,1,1,-3.5,14.637850479720944,11.137850479720944,21.4883689469443,21.0,-52.0,6,2.0794415416798357
29,67,62,42,62,68,52,33,25,27,54,47,66,56,57,50,4,40,8,-5,-4,12,-5,-17,0,0,2,51.875,47.75,4.125,1,0,-4.125,14.647952075290252,10.522952075290252,15.979967928628643,40.0,-17.0,0,1.9061547465398496
40,52,32,67,36,50,62,24,60,61,43,30,50,55,67,27,-20,-9,-11,37,-14,-5,-5,-3,1,0,4,45.375,49.125,-3.75,0,1,-3.75,14.433756729740644,10.683756729740644,16.253845698787718,37.0,-20.0,-6,1.9061547465398496
39,53,71,79,50,36,50,62,51,39,58,29,25,47,61,66,-12,14,13,50,25,-11,-11,-4,0,1,2,55.0,47.0,8.0,1,1,-8.0,14.997777613144333,6.997777613144333,20.554804791094465,50.0,-12.0,0,1.9061547465398496
43,56,45,41,17,67,35,56,18,49,25,30,62,33,28,50,25,7,20,11,-45,34,7,6,0,0,5,45.0,36.875,8.125,1,0,-8.125,15.237973399810532,7.112973399810532,22.172265896836073,34.0,-45.0,6,1.9061547465398496
47,76,60,35,30,49,53,58,52,41,68,29,70,74,52,56,-5,35,-8,6,-40,-25,1,2,1,0,5,51.0,55.25,-4.25,0,1,-4.25,14.591664287073858,10.341664287073858,20.722873835450525,35.0,-40.0,0,2.0794415416798357
42,25,31,44,33,65,49,64,56,40,69,36,79,44,46,49,-14,-15,-38,8,-46,21,3,15,1,0,1,44.125,52.375,-8.25,0,1,-8.25,14.910846164230028,6.660846164230028,22.845951501305432,21.0,-46.0,0,2.0794415416798357
64,40,45,17,49,64,55,42,32,35,51,71,52,34,24,43,32,5,-6,-54,-3,30,31,-1,0,1,2,47.0,42.75,4.25,1,1,-4.25,14.723563880166152,10.473563880166152,26.757008427699834,32.0,-54.0,0,2.0794415416798357
62,33,33,32,49,74,56,54,40,29,71,28,41,62,50,41,22,4,-38,4,8,12,6,13,0,0,2,49.125,45.25,3.875,1,0,-3.875,14.878255946178639,11.003255946178639,16.78122090314051,22.0,-38.0,6,1.9061547465398496
56,28,31,27,25,19,50,57,21,43,37,52,44,33,59,69,35,-15,-6,-25,-19,-14,-9,-12,1,0,6,36.625,44.75,-8.125,0,1,-8.125,15.247814050982303,7.122814050982303,17.19329447778988,35.0,-25.0,-6,2.0794415416798357
37,57,68,39,67,51,26,53,56,39,49,65,46,39,83,55,-19,18,19,-26,21,12,-57,-2,1,0,1,49.75,54.0,-4.25,0,1,-4.25,14.412378938491267,10.162378938491267,26.018022599728827,21.0,-57.0,0,2.0794415416798357
60,43,72,39,32,30,35,49,51,61,70,45,34,62,33,34,9,-18,2,-6,-2,-32,2,15,1,0,1,45.0,48.75,-3.75,0,1,-3.75,14.23551895787435,10.48551895787435,14.095655359010449,15.0,-32.0,0,1.9061547465398496
49,27,53,76,41,32,42,38,48,52,49,53,28,23,16,26,1,-25,4,23,13,9,26,12,0,1,2,44.75,36.875,7.875,1,1,-7.875,15.144718551363047,7.269718551363047,14.768526500636412,26.0,-25.0,6,2.0794415416798357
45,31,26,15,59,54,33,40,44,45,51,13,57,48,46,66,1,-14,-25,2,2,6,-13,-26,1,0,4,37.875,46.25,-8.375,0,1,-8.375,15.101738310538956,6.7267383105389555,11.988927183030182,6.0,-26.0,0,1.9061547465398496
21,41,52,59,70,43,33,43,53,18,30,42,60,36,18,39,-32,23,22,17,10,7,15,4,0,1,4,45.25,37.0,8.25,1,1,-8.25,15.213480864023197,6.963480864023197,16.475360390595405,23.0,-32.0,6,2.0794415416798357
33,59,59,28,46,43,71,39,47,46,58,11,42,40,60,37,-14,13,1,17,4,3,11,2,0,1,5,47.25,42.625,4.625,1,1,-4.625,14.594376770980436,9.969376770980436,8.901369276689964,17.0,-14.0,6,2.0794415416798357
45,56,31,56,48,21,21,49,37,60,28,31,31,67,54,51,8,-4,3,25,17,-46,-33,-2,1,0,4,40.875,44.875,-4.0,0,1,-4.0,14.407752542757436,10.407752542757436,22.594247055390007,25.0,-46.0,0,2.0794415416798357
22,31,61,45,25,56,33,23,50,61,24,51,39,64,49,24,-28,-30,37,-6,-14,-8,-16,-1,1,0,6,37.0,45.25,-8.25,0,1,-8.25,15.279070652366261,7.029070652366261,19.562400159489634,37.0,-30.0,-6,2.0794415416798357
33,49,38,39,75,52,68,46,38,61,45,49,83,62,41,53,-5,-12,-7,-10,-8,-10,27,-7,1,0,6,50.0,54.0,-4.0,0,1,-4.0,14.315492772983168,10.315492772983168,11.895377253370318,27.0,-12.0,-6,1.7328679513998633
31,45,56,21,21,56,48,49,37,60,28,31,31,67,54,51,-6,-15,28,-10,-10,-11,-6,-2,1,0,2,40.875,44.875,-4.0,0,1,-4.0,14.407752542757436,10.407752542757436,12.639224659764539,28.0,-15.0,-6,1.7328679513998633
74,45,41,57,49,52,32,73,63,63,51,18,50,40,36,39,11,-18,-10,39,-1,12,-4,34,0,1,3,52.875,45.0,7.875,1,1,-7.875,14.946432127211274,7.071432127211274,18.996298981643765,39.0,-18.0,0,2.0794415416798357
54,47,46,50,49,65,88,44,23,49,49,46,72,65,61,44,31,-2,-3,4,-23,0,27,0,0,1,6,55.375,51.125,4.25,1,1,-4.25,14.585380808649917,10.335380808649917,16.215347668181526,31.0,-23.0,0,1.9061547465398496
60,62,57,20,48,47,68,53,57,56,22,52,53,60,26,55,3,6,35,-32,-5,-13,42,-2,0,1,2,51.875,47.625,4.25,1,1,-4.25,14.424516167506855,10.174516167506855,22.67018967719503,42.0,-32.0,0,2.0794415416798357
32,73,42,36,45,53,46,24,68,26,43,41,47,59,66,64,-36,47,-1,-5,-2,-6,-20,-40,1,0,4,43.875,51.75,-7.875,0,1,-7.875,14.909588637294233,7.034588637294233,25.186491915310476,47.0,-40.0,-6,2.0794415416798357
30,58,39,68,31,25,47,39,51,36,80,56,44,56,46,32,-21,22,-41,12,-13,-31,1,7,1,0,5,42.125,50.125,-8.0,0,1,-8.0,14.899105118540955,6.899105118540955,20.670026608594387,22.0,-41.0,0,2.0794415416798357
57,49,55,44,13,30,55,50,23,54,64,46,43,34,67,52,34,-5,-9,-2,-30,-4,-12,-2,1,1,1,44.125,47.875,-3.75,0,0,-3.75,14.615060725156088,10.865060725156088,16.64894891577243,34.0,-30.0,-6,1.9061547465398496
66,47,28,53,59,78,47,54,72,38,39,66,36,41,48,27,-6,9,-11,-13,23,37,-1,27,0,1,4,54.0,45.875,8.125,1,1,-8.125,15.19416006233974,7.069160062339741,17.7019596372831,37.0,-13.0,0,2.0794415416798357
36,56,54,48,63,48,16,58,78,54,27,57,61,44,60,59,-42,2,27,-9,2,4,-44,-1,1,0,6,47.375,55.0,-7.625,0,1,-7.625,14.918528747835692,7.293528747835692,22.555140766574702,27.0,-44.0,0,1.9061547465398496
31,50,46,35,58,72,55,26,44,74,63,33,53,50,49,77,-13,-24,-17,2,5,22,6,-51,1,0,6,46.625,55.375,-8.75,0,1,-8.75,15.370968306084906,6.620968306084906,21.129067655720164,22.0,-51.0,0,2.0794415416798357
65,44,35,25,53,53,30,62,55,42,34,60,60,76,67,39,10,2,1,-35,-7,-23,-37,23,1,0,6,45.875,54.125,-8.25,0,1,-8.25,14.841383583300672,6.591383583300672,20.191272867256288,23.0,-37.0,0,2.0794415416798357
26,61,51,50,28,61,37,27,47,70,46,43,62,52,66,22,-21,-9,5,7,-34,9,-29,5,1,0,6,42.625,51.0,-8.375,0,1,-8.375,15.276206989956638,6.901206989956638,16.347304823731648,9.0,-34.0,0,1.9061547465398496
62,61,46,42,29,62,76,48,41,44,34,43,39,70,27,65,21,17,12,-1,-10,-8,49,-17,0,1,2,53.25,45.375,7.875,1,1,-7.875,14.831132795575664,6.956132795575664,20.102471862932678,49.0,-17.0,0,2.0794415416798357
71,50,39,24,47,41,23,49,28,64,51,45,52,64,24,51,43,-14,-12,-21,-5,-23,-1,-2,1,0,1,43.0,47.375,-4.375,0,1,-4.375,14.765810735163399,10.390810735163399,19.480358697929564,43.0,-23.0,-6,2.0794415416798357
49,23,44,49,46,61,72,65,54,47,46,50,49,65,88,44,-5,-24,-2,-1,-3,-4,-16,21,1,0,1,51.125,55.375,-4.25,0,1,-4.25,14.585380808649917,10.335380808649917,12.162956055170142,21.0,-24.0,-6,2.0794415416798357
53,36,70,62,43,27,57,61,54,36,72,76,49,37,58,61,-1,0,-2,-14,-6,-10,-1,0,1,1,1,51.125,55.375,-4.25,0,0,-4.25,14.27118308573843,10.02118308573843,4.9180788932265,0.0,-14.0,-6,1.7328679513998633
47,33,52,35,58,75,54,71,53,61,32,25,68,53,56,41,-6,-28,20,10,-10,22,-2,30,0,1,6,53.125,48.625,4.5,1,1,-4.5,14.582523787054146,10.082523787054146,18.186533479473212,30.0,-28.0,0,2.0794415416798357
58,43,71,55,42,27,33,36,22,36,72,46,31,32,49,45,36,7,-1,9,11,-5,-16,-9,0,1,1,45.625,41.625,4.0,1,1,-4.0,14.600799064891392,10.600799064891392,14.9248115565993,36.0,-16.0,0,2.0794415416798357
64,35,62,30,40,64,62,68,38,66,48,23,29,48,43,62,26,-31,14,7,11,16,19,6,0,1,5,53.125,44.625,8.5,1,1,-8.5,15.230999091764575,6.730999091764575,16.1167614612862,26.0,-31.0,6,2.0794415416798357
52,46,53,46,67,50,58,17,57,53,67,55,72,26,59,37,-5,-7,-14,-9,-5,24,-1,-20,1,1,2,48.625,53.25,-4.625,0,0,-4.625,14.502729628130929,9.877729628130929,12.154603037532736,24.0,-20.0,-6,1.9061547465398496
40,58,44,71,49,35,58,80,44,45,51,44,32,41,78,31,-4,13,-7,27,17,-6,-20,49,0,1,6,54.375,45.75,8.625,1,1,-8.625,15.229220816137202,6.604220816137202,20.898190711159664,49.0,-20.0,0,2.0794415416798357
34,42,82,40,53,49,38,56,47,51,50,30,41,68,52,18,-13,-9,32,10,12,-19,-14,38,0,1,6,49.25,44.625,4.625,1,1,-4.625,14.892811465043573,10.267811465043573,20.45689064838545,38.0,-19.0,0,2.0794415416798357
39,60,44,59,34,28,71,58,38,50,57,68,49,32,20,43,1,10,-13,-9,-15,-4,51,15,0,1,6,49.125,44.625,4.5,1,1,-4.5,14.646387495442918,10.146387495442918,20.174241001832016,51.0,-15.0,0,2.0794415416798357
43,40,54,16,65,52,44,61,72,29,32,30,38,55,48,41,-29,11,22,-14,27,-3,-4,20,0,1,2,46.875,43.125,3.75,1,1,-3.75,14.628738838327793,10.878738838327793,18.314952907392364,27.0,-29.0,0,2.0794415416798357
26,49,49,46,31,69,53,64,33,24,43,44,15,51,45,62,-7,25,6,2,16,18,8,2,0,1,6,48.375,39.625,8.75,1,1,-8.75,15.033296378372908,6.283296378372908,9.67923034130297,25.0,-7.0,6,1.9061547465398496
57,42,42,81,32,49,45,42,29,43,61,63,36,22,32,45,28,-1,-19,18,-4,27,13,-3,0,1,6,48.75,41.375,7.375,1,1,-7.375,14.76693942562236,7.391939425622359,15.643988462025916,28.0,-19.0,0,2.0794415416798357
38,61,61,59,28,69,35,56,57,66,79,62,38,31,51,57,-19,-5,-18,-3,-10,38,-16,-1,1,0,1,50.875,55.125,-4.25,0,1,-4.25,14.773850773128402,10.523850773128402,17.231874535290697,38.0,-19.0,-6,2.0794415416798357
18,46,35,57,31,41,67,36,56,50,38,29,38,71,68,39,-38,-4,-3,28,-7,-30,-1,-3,1,0,6,41.375,48.625,-7.25,0,1,-7.25,15.257784898208522,8.007784898208522,18.679868843222643,28.0,-38.0,-6,1.9061547465398496
47,60,42,11,40,46,37,58,33,59,59,28,46,43,71,39,14,1,-17,-17,-6,3,-34,19,1,0,5,42.625,47.25,-4.625,0,1,-4.625,14.594376770980436,9.969376770980436,16.45400787042476,19.0,-34.0,0,1.9061547465398496
23,47,60,47,48,29,62,28,50,64,67,34,32,56,48,27,-27,-17,-7,13,16,-27,14,1,1,1,1,43.0,47.25,-4.25,0,0,-4.25,14.545904349105742,10.295904349105742,16.857861667483217,16.0,-27.0,0,1.9061547465398496
40,35,70,20,41,48,28,44,50,55,67,45,21,44,68,42,-10,-20,3,-25,20,4,-40,2,1,0,4,40.75,49.0,-8.25,0,1,-8.25,15.0858653491715,6.835865349171501,18.06066167115701,20.0,-40.0,0,2.0794415416798357
57,41,62,51,23,72,52,49,34,34,48,44,63,66,27,29,23,7,14,7,-40,6,25,20,0,1,3,50.875,43.125,7.75,1,1,-7.75,14.823404916999783,7.073404916999783,19.37620963965863,25.0,-40.0,6,1.9061547465398496
27,53,46,30,70,51,31,49,23,35,59,47,16,26,37,50,4,18,-13,-17,54,25,-6,-1,0,1,2,44.625,36.625,8.0,1,1,-8.0,14.732616875490926,6.732616875490926,21.97726097583591,54.0,-17.0,0,2.0794415416798357
76,43,52,40,36,41,66,35,46,37,50,76,31,36,54,30,30,6,2,-36,5,5,12,5,0,0,1,48.625,45.0,3.625,1,0,-3.625,14.738696233611257,11.113696233611257,17.138680666842475,30.0,-36.0,6,1.6674619334292948
42,53,86,58,37,53,53,42,40,63,36,64,56,34,20,47,2,-10,50,-6,-19,19,33,-5,0,1,4,53.0,45.0,8.0,1,1,-8.0,15.340577998671801,7.340577998671801,22.259829289552066,50.0,-19.0,0,2.0794415416798357
37,26,32,65,52,32,64,51,54,47,73,55,37,76,41,40,-17,-21,-41,10,15,-44,23,11,1,1,5,44.875,52.875,-8.0,0,0,-8.0,15.063753405664428,7.063753405664428,24.520399670478458,23.0,-44.0,0,2.0794415416798357
60,45,42,20,50,40,67,31,38,65,49,33,60,64,72,35,22,-20,-7,-13,-10,-24,-5,-4,1,0,1,44.375,52.0,-7.625,0,1,-7.625,15.166712454143338,7.5417124541433385,13.009011299864413,22.0,-24.0,-6,2.0794415416798357
55,65,29,53,57,74,68,41,56,50,19,42,53,69,51,34,-1,15,10,11,4,5,17,7,0,1,4,55.25,46.75,8.5,1,1,-8.5,15.05988047761336,6.55988047761336,5.5677643628300215,17.0,-1.0,6,2.0794415416798357
75,24,46,38,47,41,38,56,58,65,43,33,34,23,30,51,17,-41,3,5,13,18,8,5,0,1,5,45.625,42.125,3.5,1,1,-3.5,14.476993242152645,10.976993242152645,17.635192088548397,18.0,-41.0,6,1.9061547465398496
46,37,40,64,81,38,50,50,75,39,52,68,38,40,63,65,-29,-2,-12,-4,43,-2,-13,-15,1,1,2,50.75,55.0,-4.25,0,0,-4.25,14.527560015363902,10.277560015363902,19.70881782350225,43.0,-29.0,-6,1.9061547465398496
35,61,28,43,65,41,42,71,48,63,74,47,54,32,33,65,-13,-2,-46,-4,11,9,9,6,1,1,4,48.25,52.0,-3.75,0,0,-3.75,14.836329285462313,11.086329285462313,17.71828151937992,11.0,-46.0,0,1.9061547465398496
48,48,60,68,47,29,72,71,33,44,51,55,29,70,66,62,15,4,9,13,18,-41,6,9,0,1,5,55.375,51.25,4.125,1,1,-4.125,14.659325814420434,10.534325814420434,17.595720360360357,18.0,-41.0,6,1.9061547465398496
38,25,52,19,33,21,57,51,68,41,53,36,50,26,58,26,-30,-16,-1,-17,-17,-5,-1,25,1,1,1,37.0,44.75,-7.75,0,0,-7.75,15.072602075731096,7.322602075731096,15.433324334050653,25.0,-30.0,-6,1.7328679513998633
47,26,29,51,60,63,62,40,15,43,48,56,48,26,53,55,32,-17,-19,-5,12,37,9,-15,0,1,5,47.25,43.0,4.25,1,1,-4.25,14.347473645210156,10.097473645210156,20.535031044534605,37.0,-19.0,0,2.0794415416798357
31,59,37,54,59,61,77,61,28,50,44,35,58,36,75,53,3,9,-7,19,1,25,2,8,0,1,4,54.875,47.375,7.5,1,1,-7.5,14.827339613025663,7.3273396130256625,9.643650760992955,25.0,-7.0,6,2.0794415416798357
44,53,31,36,58,68,56,23,47,68,36,41,74,43,60,32,-3,-15,-5,-5,-16,25,-4,-9,1,0,6,46.125,50.125,-4.0,0,1,-4.0,14.961617559608987,10.961617559608987,11.905880899790658,25.0,-16.0,-6,1.9061547465398496
26,28,59,60,66,59,60,50,69,25,35,37,32,57,54,38,-43,3,24,23,34,2,6,12,0,1,6,51.0,43.375,7.625,1,1,-7.625,15.197450444071203,7.572450444071203,21.902839427800224,34.0,-43.0,6,2.0794415416798357
40,46,26,52,42,50,63,17,55,48,31,58,60,57,21,37,-15,-2,-5,-6,-18,-7,42,-20,1,0,1,42.0,45.875,-3.875,0,1,-3.875,14.242980727361813,10.367980727361813,18.394547425799853,42.0,-20.0,-6,2.0794415416798357
43,15,48,48,56,53,55,26,47,26,29,51,60,63,62,40,-4,-11,19,-3,-4,-10,-7,-14,1,0,5,43.0,47.25,-4.25,0,1,-4.25,14.347473645210156,10.097473645210156,9.509863300805117,19.0,-14.0,-6,1.9061547465398496
71,28,37,62,51,41,62,57,27,74,35,58,46,37,58,41,44,-46,2,4,5,4,4,16,0,1,6,51.125,47.0,4.125,1,1,-4.125,14.658188837642937,10.533188837642937,23.0458103567655,44.0,-46.0,6,1.6674619334292948
30,58,68,39,39,47,31,25,51,36,80,56,44,56,46,32,-21,22,-12,-17,-5,-9,-15,-7,1,0,6,42.125,50.125,-8.0,0,1,-8.0,14.899105118540955,6.899105118540955,12.379418403139947,22.0,-21.0,-6,2.0794415416798357
42,25,65,31,64,44,33,49,56,40,69,36,79,44,46,49,-14,-15,-4,-5,-15,0,-13,0,1,0,6,44.125,52.375,-8.25,0,1,-8.25,14.910846164230028,6.660846164230028,6.239991987174342,0.0,-15.0,-6,1.7328679513998633
38,61,45,49,83,62,41,53,49,38,39,33,52,75,46,68,-11,23,6,16,31,-13,-5,-15,0,1,1,54.0,50.0,4.0,1,1,-4.0,14.315492772983168,10.315492772983168,16.560495161679196,31.0,-15.0,0,2.0794415416798357
62,39,55,58,42,15,56,49,38,55,59,88,55,39,57,51,24,-16,-4,-30,-13,-24,-1,-2,1,0,2,47.0,55.25,-8.25,0,1,-8.25,15.383432646844462,7.1334326468444615,15.626499928006911,24.0,-30.0,-6,2.0794415416798357
25,27,36,61,58,26,45,57,41,26,29,45,68,63,56,38,-16,1,7,16,-10,-37,-11,19,1,0,1,41.875,45.75,-3.875,0,1,-3.875,14.985409570645709,11.110409570645709,17.294778836400308,19.0,-37.0,0,2.0794415416798357
27,49,69,64,54,67,35,52,45,43,34,56,52,64,16,40,-18,6,35,8,2,3,19,12,0,1,5,52.125,43.75,8.375,1,1,-8.375,14.999861110468101,6.624861110468101,14.168075910299182,35.0,-18.0,6,2.0794415416798357
43,33,51,34,58,65,23,30,75,24,46,38,47,41,38,56,-32,9,5,-4,11,24,-15,-26,1,0,6,42.125,45.625,-3.5,0,1,-3.5,14.476993242152645,10.976993242152645,18.186533479473212,24.0,-32.0,0,2.0794415416798357
38,61,28,61,59,35,56,69,57,66,79,62,38,31,51,57,-19,-5,-51,-1,21,4,5,12,1,1,1,50.875,55.125,-4.25,0,0,-4.25,14.773850773128402,10.523850773128402,20.825165065372232,21.0,-51.0,0,2.0794415416798357
75,39,52,68,38,40,63,65,46,37,64,40,50,50,81,38,29,2,-12,28,-12,-10,-18,27,0,0,1,55.0,50.75,4.25,1,0,-4.25,14.527560015363902,10.277560015363902,19.122957407263137,29.0,-18.0,0,1.9061547465398496
29,69,36,55,67,69,51,63,75,56,31,37,31,46,45,57,-46,13,5,18,36,23,6,6,0,1,1,54.875,47.25,7.625,1,1,-7.625,15.202932831091067,7.577932831091067,22.544054094150855,36.0,-46.0,6,1.9061547465398496
25,63,61,52,49,24,41,39,63,26,59,61,47,49,37,71,-38,37,2,-9,2,-25,4,-32,1,0,5,44.25,51.625,-7.375,0,1,-7.375,14.825512919738504,7.450512919738504,22.726292592501753,37.0,-38.0,0,1.9061547465398496
57,28,35,39,40,45,74,37,70,53,44,56,44,55,21,38,-13,-25,-9,-17,-4,-10,53,-1,1,0,2,44.375,47.625,-3.25,0,1,-3.25,14.189197769195175,10.939197769195175,22.37604746151563,53.0,-25.0,-6,2.0794415416798357
32,33,47,58,54,33,73,40,20,64,31,49,43,31,61,37,12,-31,16,9,11,2,12,3,0,1,5,46.25,42.0,4.25,1,1,-4.25,14.664583185348297,10.414583185348297,14.033442200686189,16.0,-31.0,6,1.9061547465398496
51,41,68,30,50,47,18,52,34,42,82,40,53,49,38,56,17,-1,-14,-10,-3,-2,-20,-4,1,0,6,44.625,49.25,-4.625,0,1,-4.625,14.892811465043573,10.267811465043573,10.270558650823235,17.0,-20.0,-6,2.0794415416798357
44,46,54,20,40,61,20,48,60,50,40,38,62,67,25,60,-16,-4,14,-18,-22,-6,-5,-12,1,0,5,41.625,50.25,-8.625,0,1,-8.625,14.901761640826228,6.276761640826228,10.523040197585487,14.0,-22.0,-6,2.0794415416798357
44,45,60,61,57,72,44,23,70,66,68,38,48,62,31,54,-26,-21,-8,23,9,10,13,-31,1,0,4,50.75,54.625,-3.875,0,1,-3.875,14.40702953422391,10.53202953422391,19.04230487624857,23.0,-31.0,0,2.0794415416798357
70,53,44,56,44,55,21,38,57,28,35,39,45,74,37,40,13,25,9,17,-1,-19,-16,-2,0,0,1,47.625,44.375,3.25,1,0,-3.25,14.189197769195175,10.939197769195175,14.58380951603524,25.0,-19.0,0,2.0794415416798357
37,76,36,31,46,50,30,54,76,43,52,40,36,41,66,35,-39,33,-16,-9,10,9,-36,19,1,1,1,45.0,48.625,-3.625,0,0,-3.625,14.738696233611257,11.113696233611257,24.186450235617464,33.0,-39.0,0,2.0794415416798357
25,54,47,27,56,66,50,57,29,67,62,42,62,68,52,33,-4,-13,-15,-15,-6,-2,-2,24,1,1,2,47.75,51.875,-4.125,0,0,-4.125,14.647952075290252,10.522952075290252,11.826215582340785,24.0,-15.0,-6,1.7328679513998633
52,40,31,27,35,66,46,65,31,39,30,73,31,52,36,37,21,1,1,-46,4,14,10,28,0,0,1,45.25,41.125,4.125,1,0,-4.125,14.409343033832828,10.284343033832828,20.97282467861685,28.0,-46.0,6,1.9061547465398496
78,50,39,46,49,35,66,37,38,61,46,27,60,21,35,51,40,-11,-7,19,-11,14,31,-14,0,1,1,50.0,42.375,7.625,1,1,-7.625,14.869291621773154,7.244291621773154,19.811218412808437,40.0,-14.0,0,1.9061547465398496
35,20,64,31,49,22,44,28,58,33,17,40,54,57,57,44,-23,-13,47,-9,-5,-35,-13,-16,1,0,1,36.625,45.0,-8.375,0,1,-8.375,14.896168411149672,6.521168411149672,22.64363873144067,47.0,-35.0,-6,1.9061547465398496
48,52,85,38,42,57,58,44,26,34,44,45,53,73,33,49,22,18,41,-7,-11,-16,25,-5,0,1,2,53.0,44.625,8.375,1,1,-8.375,14.80638938656777,6.431389386567769,19.37741920380524,41.0,-16.0,0,2.0794415416798357
48,48,60,68,47,29,72,71,70,51,55,33,66,44,29,62,-22,-3,5,35,-19,-15,43,9,0,1,1,55.375,51.25,4.125,1,1,-4.125,14.659325814420434,10.534325814420434,22.70152803227131,43.0,-22.0,0,2.0794415416798357
53,61,53,22,34,55,58,26,62,38,56,52,45,66,75,28,-9,23,-3,-30,-11,-11,-17,-2,1,0,2,45.25,52.75,-7.5,0,1,-7.5,15.375304875026057,7.875304875026057,14.159802258506296,23.0,-30.0,-6,1.9061547465398496
64,48,36,43,36,64,66,76,53,47,85,37,35,49,48,46,11,1,-49,6,1,15,18,30,0,0,1,54.125,50.0,4.125,1,0,-4.125,14.964262984412786,10.839262984412786,22.002485655034523,30.0,-49.0,6,1.9061547465398496
31,59,66,47,43,61,31,70,63,60,35,33,51,43,41,16,-32,-1,31,14,-8,18,-10,54,0,1,6,51.0,42.75,8.25,1,1,-8.25,15.387765703094564,7.137765703094564,25.103535607559348,54.0,-32.0,0,2.0794415416798357
29,71,40,41,50,62,28,41,62,33,33,32,49,74,56,54,-33,38,7,9,1,-12,-28,-13,1,1,1,45.25,49.125,-3.875,0,0,-3.875,14.878255946178639,11.003255946178639,21.33329264319036,38.0,-33.0,0,2.0794415416798357
72,42,60,61,39,53,28,66,44,38,42,64,50,63,38,18,28,4,18,-3,-11,-10,-10,48,0,1,6,52.625,44.625,8.0,1,1,-8.0,15.023869896490273,7.0238698964902735,20.143237078483686,48.0,-11.0,0,1.9061547465398496
47,70,46,43,62,52,66,22,26,61,28,37,61,51,50,27,21,9,18,6,1,1,16,-5,0,1,5,51.0,42.625,8.375,1,1,-8.375,15.276206989956638,6.901206989956638,8.688174434252572,21.0,-5.0,6,1.9061547465398496
50,61,24,51,39,64,49,24,22,31,61,25,45,23,56,33,28,30,-37,26,-6,41,-7,-9,0,1,2,45.25,37.0,8.25,1,1,-8.25,15.279070652366261,7.029070652366261,25.078626357916814,41.0,-37.0,0,2.0794415416798357
35,45,55,65,38,74,35,40,63,32,61,46,25,32,36,60,-28,13,-6,19,13,42,-1,-20,0,0,4,48.375,44.375,4.0,1,0,-4.0,14.628169172296762,10.628169172296762,21.083168642308014,42.0,-28.0,0,1.9061547465398496
71,28,37,62,51,41,62,57,27,46,35,37,58,74,41,58,44,-18,2,25,-7,-33,21,-1,0,0,1,51.125,47.0,4.125,1,0,-4.125,14.658188837642937,10.533188837642937,23.272502551294306,44.0,-33.0,0,2.0794415416798357
43,74,54,48,45,22,39,53,33,52,29,55,64,73,51,50,10,22,25,-7,-19,-51,-12,3,1,0,1,47.25,50.875,-3.625,0,1,-3.625,14.27103710316808,10.64603710316808,23.097280684097857,25.0,-51.0,0,2.0794415416798357
49,49,75,43,38,51,20,52,47,54,30,68,32,49,65,64,2,-5,45,-25,6,2,-45,-12,1,0,1,47.125,51.125,-4.0,0,1,-4.0,14.623611045155707,10.623611045155707,24.392621835300936,45.0,-45.0,0,1.9061547465398496
46,16,29,47,63,26,33,45,68,42,50,38,40,67,24,39,-22,-26,-21,9,23,-41,9,6,1,1,1,38.125,46.0,-7.875,0,0,-7.875,15.035374953754895,7.160374953754895,20.95493676917208,23.0,-41.0,0,1.9061547465398496
44,60,61,72,45,57,23,44,70,66,68,38,48,62,31,54,-26,-6,-7,34,-3,-5,-8,-10,1,0,1,50.75,54.625,-3.875,0,1,-3.875,14.40702953422391,10.53202953422391,15.791116964926832,34.0,-26.0,-6,2.0794415416798357
46,35,54,57,83,46,59,37,64,33,45,37,71,44,57,31,-18,2,9,20,12,2,2,6,0,0,1,52.125,47.75,4.375,1,0,-4.375,14.667282184053958,10.292282184053958,10.270558650823235,20.0,-18.0,6,1.6674619334292948
