mean_left,mean_right,var_left,var_right,diff_mean,mean_var,diff_var,response_left,correct,source
50.75,40.625,235.64285714285714,230.26785714285714,10.125,232.95535714285714,5.375,1,1,data_lab
60.375,60.0,383.98214285714283,101.14285714285714,0.375,242.5625,282.83928571428567,0,0,data_lab
45.0,45.25,411.7142857142857,105.64285714285714,-0.25,258.67857142857144,306.07142857142856,1,0,data_lab
49.875,60.125,223.55357142857142,210.41071428571428,-10.25,216.98214285714283,13.142857142857139,1,0,data_lab
60.0,50.0,213.42857142857142,229.71428571428572,10.0,221.57142857142856,-16.285714285714306,0,0,data_lab
55.75,56.375,102.21428571428571,402.26785714285717,-0.625,252.24107142857144,-300.05357142857144,0,1,data_lab
55.125,54.875,382.98214285714283,94.98214285714286,0.25,238.98214285714283,288.0,0,0,data_lab
48.25,58.0,239.35714285714286,232.0,-9.75,235.67857142857144,7.357142857142861,0,1,data_lab
60.25,50.25,222.5,234.5,10.0,228.5,-12.0,1,1,data_lab
57.625,48.25,224.83928571428572,215.92857142857142,9.375,220.38392857142856,8.910714285714306,1,1,data_lab
41.125,40.75,103.83928571428571,398.7857142857143,0.375,251.3125,-294.94642857142856,1,1,data_lab
53.25,42.625,234.5,221.98214285714286,10.625,228.24107142857144,12.517857142857139,0,0,data_lab
52.375,42.0,239.98214285714286,217.71428571428572,10.375,228.84821428571428,22.26785714285714,0,0,data_lab
55.125,55.125,95.55357142857143,381.55357142857144,0.0,238.55357142857144,-286.0,1,1,data_lab
52.875,52.875,410.4107142857143,94.125,0.0,252.26785714285714,316.2857142857143,0,1,data_lab
45.375,54.75,237.41071428571428,222.78571428571428,-9.375,230.09821428571428,14.625,0,1,data_lab
41.0,41.25,416.2857142857143,103.92857142857143,-0.25,260.10714285714283,312.35714285714283,1,0,data_lab
59.875,60.375,417.55357142857144,92.83928571428571,-0.5,255.19642857142858,324.7142857142857,1,0,data_lab
50.25,59.625,229.92857142857142,231.41071428571428,-9.375,230.66964285714283,-1.4821428571428612,1,0,data_lab
53.125,42.875,214.69642857142858,215.55357142857142,10.25,215.125,-0.8571428571428328,0,0,data_lab
43.875,54.125,231.83928571428572,240.125,-10.25,235.98214285714286,-8.285714285714278,0,1,data_lab
49.75,40.0,225.64285714285714,233.14285714285714,9.75,229.39285714285714,-7.5,1,1,data_lab
49.125,59.125,238.98214285714286,232.125,-10.0,235.55357142857144,6.857142857142861,0,1,data_lab
59.875,49.625,229.55357142857142,232.83928571428572,10.25,231.19642857142856,-3.285714285714306,0,0,data_lab
48.875,48.875,394.69642857142856,93.55357142857143,0.0,244.125,301.1428571428571,1,1,data_lab
54.625,45.125,228.55357142857142,220.125,9.5,224.33928571428572,8.428571428571416,1,1,data_lab
55.125,55.25,97.26785714285714,397.64285714285717,-0.125,247.45535714285717,-300.375,0,1,data_lab
55.875,56.25,390.98214285714283,99.07142857142857,-0.375,245.0267857142857,291.9107142857143,0,1,data_lab
41.75,51.75,225.35714285714286,232.78571428571428,-10.0,229.07142857142856,-7.428571428571416,0,1,data_lab
55.0,54.75,92.28571428571429,405.92857142857144,0.25,249.10714285714286,-313.64285714285717,0,0,data_lab
